Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Grand Theft Auto,Series,1998,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
2,Lego,Series,1997,Action-Adventure,Mindscape  ,TT Fusion  ,,,,,,,
3,Minecraft,All,2011,Action-Adventure,Mojang  ,Mojang AB  ,,,,,,,
4,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
5,Grand Theft Auto V,All,2013,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
6,Resident Evil,Series,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
7,The Legend of Zelda,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
8,Tomb Raider,Series,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
9,Red Dead,Series,2004,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
10,Metal Gear,Series,1987,Action-Adventure,Konami  ,Konami  ,,,,,,,
11,Lego Star Wars,Series,2005,Action-Adventure,Eidos Interactive  ,TT Fusion  ,,,,,,,
12,Harry Potter,Series,2001,Action-Adventure,Electronic Arts  ,Griptonite Games  ,,,,,,,
13,Red Dead Redemption 2,All,2018,Action-Adventure,Rockstar Games  ,Rockstar Studios  ,,,,,,,
14,Terraria,Series,2011,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,
15,Spider-Man,Series,1982,Action-Adventure,Parker Brothers  ,Parker Brothers  ,,,,,,,
16,Tom Clancy's Splinter Cell,Series,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
17,James Bond,Series,1983,Action-Adventure,Parker Bros.  ,Richard Shepherd Software  ,,,,,,,
18,Grand Theft Auto: San Andreas,All,2004,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
19,Grand Theft Auto IV,All,2008,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
20,Batman: Arkham,Series,2009,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,
21,The Last of Us,Series,2013,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,
22,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46
23,Castlevania,Series,1986,Action-Adventure,Konami  ,Konami  ,,,,,,,
24,Gundam,Series,1997,Action-Adventure,Bandai  ,Banpresto  ,,,,,,,
25,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76
26,Prince of Persia,Series,1989,Action-Adventure,Broderbund  ,Broderbund  ,,,,,,,
27,Rayman Raving Rabbids,Series,2006,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
28,SpongeBob SquarePants,Series,2001,Action-Adventure,THQ  ,Vicarious Visions  ,,,,,,,
29,Watch Dogs,Series,2014,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
30,Luigi's Mansion,Series,2001,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
31,Teenage Mutant Ninja Turtles,Series,1989,Action-Adventure,Konami  ,Konami  ,,,,,,,
32,Grand Theft Auto: Vice City,All,2002,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
33,The Lord of the Rings,Series,1982,Action-Adventure,Melbourne House  ,Beam Software  ,,,,,,,
34,Hitman,Series,2000,Action-Adventure,Eidos Interactive  ,IO Interactive  ,,,,,,,
35,Barbie,Series,1991,Action-Adventure,Hi Tech Expressions  ,Imagineering  ,,,,,,,
36,Red Dead Redemption,All,2010,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
37,Grand Theft Auto III,All,2001,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
38,Dead Island,Series,2011,Action-Adventure,Deep Silver  ,Techland  ,,,,,,,
39,Dead Rising,Series,2006,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
40,Mafia,Series,2002,Action-Adventure,Gathering of Developers  ,Illusion Softworks  ,,,,,,,
41,Yakuza,Series,2006,Action-Adventure,Sega  ,Sega  ,,,,,,,
42,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
43,Metroid,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
