Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,The Walking Dead: Telltale Games Series,Series,2012,Adventure,Telltale Games  ,Telltale Games  ,,,,,,,
2,Professor Layton,Series,2008,Adventure,Nintendo  ,Level-5  ,,,,,,,
3,Myst,Series,1993,Adventure,Broderbund  ,"Cyan, Inc.  ",,,,,,,
4,Broken Sword,Series,1996,Adventure,Virgin Interactive  ,Revolution Software  ,,,,,,,
5,Ace Attorney,Series,2005,Adventure,Capcom  ,Capcom  ,,,,,,,
6,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6
7,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
8,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,,,3.74,0.93,1.69,0.14,6.51
9,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
10,Myst,PC,1995,Adventure,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81
11,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Adventure,Nintendo  ,GREZZO  ,9.3,,1.42,0.01,0.56,,2.0
12,Detroit: Become Human,All,2018,Adventure,Sony Interactive Entertainment  ,Quantic Dream  ,,,,,,,
13,Heavy Rain,All,2010,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,,,,,
14,Tomb Raider II,PS,1997,Adventure,Eidos Interactive  ,Core Design Ltd.  ,7.6,,2.3,2.46,0.2,0.28,5.24
15,Subnautica,Series,2018,Adventure,Unknown Worlds Entertainment  ,Unknown Worlds Entertainment  ,,,,,,,
16,Subnautica,All,2018,Adventure,Unknown Worlds Entertainment  ,Unknown Worlds Entertainment  ,,,,,,,
17,L.A. Noire,All,2011,Adventure,Rockstar Games  ,Team Bondi  ,,,,,,,
18,The Legend of Zelda: Phantom Hourglass,DS,2007,Adventure,Nintendo  ,Nintendo EAD  ,9.1,,1.85,1.8,0.95,0.48,5.09
19,The Legend of Zelda: A Link to the Past,SNES,1992,Adventure,Nintendo  ,Nintendo EAD  ,10.0,,2.42,0.91,1.15,0.13,4.61
20,Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb  ,Cyan Worlds  ,,,1.52,0.82,,0.1,2.43
21,Professor Layton and the Curious Village,DS,2008,Adventure,Nintendo  ,Level 5  ,8.7,,1.21,2.44,1.03,0.51,5.2
22,The Legend of Zelda: The Wind Waker,GC,2003,Adventure,Nintendo  ,Nintendo EAD  ,9.6,,2.6,0.99,0.89,0.13,4.6
23,Zelda II: The Adventure of Link,NES,1988,Adventure,Nintendo  ,Nintendo EAD  ,,,2.19,0.5,1.61,0.08,4.38
24,The Legend of Zelda: A Link Between Worlds,3DS,2013,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.53,1.31,0.47,0.26,3.57
25,The Legend of Zelda: Oracle of Ages / Seasons,GBC,2001,Adventure,Nintendo  ,Capcom  ,,,,,,,
26,Professor Layton and the Diabolical Box,DS,2009,Adventure,Nintendo  ,Level 5  ,8.5,,0.9,1.76,0.92,0.37,3.95
27,The Legend of Zelda: Link's Awakening,GB,1993,Adventure,Nintendo  ,Nintendo EAD  ,,,2.21,0.96,0.54,0.13,3.83
28,LEGO Indiana Jones: The Original Adventures,X360,2008,Adventure,LucasArts  ,Traveller's Tales  ,7.5,,2.4,1.01,,0.36,3.76
29,The Legend of Zelda: Skyward Sword,Wii,2011,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,2.03,1.18,0.37,0.39,3.96
30,Tomb Raider III: Adventures of Lara Croft,PS,1998,Adventure,Eidos Interactive  ,Core Design Ltd.  ,8.2,,1.66,1.58,0.12,0.18,3.54
31,LEGO Batman: The Videogame,X360,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.5,,2.07,1.04,,0.34,3.44
32,The Legend of Zelda: Majora's Mask,N64,2000,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.9,0.67,0.73,0.06,3.36
33,L.A. Noire,PS3,2011,Adventure,Rockstar Games  ,Team Bondi  ,9.1,,1.29,1.31,0.12,0.49,3.21
34,Detroit: Become Human,PS4,2018,Adventure,Sony Interactive Entertainment  ,Quantic Dream  ,8.0,,0.55,0.67,0.12,0.24,1.57
35,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios  ,1st Playable Productions  ,7.0,,1.87,0.97,,0.3,3.14
36,LEGO Batman: The Videogame,Wii,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.3,,1.8,0.98,,0.29,3.08
37,LEGO Batman: The Videogame,DS,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.8,,1.75,1.02,,0.29,3.06
38,Professor Layton and the Unwound Future,DS,2010,Adventure,Nintendo  ,Level 5  ,8.4,,0.61,1.58,0.82,0.27,3.28
39,Frogwares' Sherlock Holmes,Series,2003,Adventure,The Adventure Company  ,Frogwares  ,,,,,,,
40,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,8.8,8.6,1.29,1.24,0.06,0.48,3.06
41,Life is Strange,All,2015,Adventure,Square Enix  ,DONTNOD Entertainment  ,,,,,,,
42,Syberia,Series,2002,Adventure,Microids  ,Microids  ,,,,,,,
43,The Legend of Zelda: Spirit Tracks,DS,2009,Adventure,Nintendo  ,Nintendo EAD  ,8.7,,1.4,0.92,0.74,0.26,3.32
44,Subnautica,PC,2018,Adventure,Unknown Worlds Entertainment  ,Unknown Worlds Entertainment  ,,,,,,,
45,The Walking Dead: A Telltale Games Series,PC,2012,Adventure,Telltale Games  ,Telltale Games  ,,,,0.03,,0.0,0.03
46,The Legend of Zelda: A Link to the Past,GBA,2002,Adventure,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,,1.75,0.52,0.33,0.1,2.7
47,L.A. Noire,X360,2011,Adventure,Rockstar Games  ,Team Bondi  ,9.1,,1.55,0.92,0.02,0.24,2.73
48,Metroid,NES,1987,Adventure,Nintendo  ,Nintendo R&D1  ,,,1.33,0.31,1.04,0.05,2.73
49,Harry Potter and the Chamber of Secrets,PS2,2002,Adventure,Electronic Arts  ,Eurocom Entertainment Software  ,,,0.9,1.22,0.04,0.44,2.61
50,Grand Theft Auto: Episodes from Liberty City,X360,2009,Adventure,Rockstar Games  ,Rockstar North  ,9.0,,1.08,1.22,0.03,0.27,2.6
51,Firewatch,All,2016,Adventure,Panic  ,Campo Santo  ,,,,,,,
52,Rise of the Tomb Raider,PC,2016,Adventure,Square Enix  ,Crystal Dynamics  ,,,,0.14,,0.01,0.15
53,LEGO Harry Potter: Years 1-4,Wii,2010,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.9,,1.29,0.94,,0.22,2.45
54,Frogger's Adventures: Temple of the Frog,GBA,2001,Adventure,Konami  ,Konami  ,6.7,,2.15,0.18,,0.07,2.39
55,LEGO Indiana Jones: The Original Adventures,Wii,2008,Adventure,LucasArts  ,Traveller's Tales  ,7.8,,1.51,0.62,,0.22,2.35
56,LEGO Harry Potter: Years 1-4,DS,2010,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,8.0,,1.07,1.0,,0.22,2.29
57,Tomb Raider II,PC,1997,Adventure,Eidos Interactive  ,Core Design Ltd.  ,8.2,,0.91,1.25,,0.13,2.29
58,Prince of Persia: The Sands of Time,PS2,2003,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,9.1,0.88,1.03,,0.31,2.22
59,The Legend of Zelda: Link's Awakening DX,GBC,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,1.0,0.63,0.45,0.13,2.22
60,LEGO Indiana Jones: The Original Adventures,DS,2008,Adventure,LucasArts  ,Traveller's Tales  ,,,1.4,0.6,,0.21,2.2
61,Deponia,Series,2012,Adventure,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,,,,
62,Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,Capcom  ,Capcom  ,8.5,,0.62,0.44,1.06,0.13,2.25
63,Grand Theft Auto: Episodes from Liberty City,PS3,2010,Adventure,Rockstar Games  ,Rockstar North  ,9.0,,0.62,0.99,0.13,0.34,2.09
64,Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix  ,Crystal Dynamics  ,,,0.61,1.08,0.05,0.32,2.07
65,Professor Layton and the Last Specter,DS,2011,Adventure,Nintendo  ,Level 5  ,8.4,,0.28,1.41,0.68,0.32,2.68
66,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,0.52,0.86,0.06,0.26,1.7
67,Silent Hill,PS,1999,Adventure,Konami  ,KCET  ,8.9,,0.71,0.48,0.3,0.1,1.6
68,Harry Potter and the Chamber of Secrets,GBA,2002,Adventure,Electronic Arts  ,Eurocom Entertainment Software  ,7.2,,1.21,0.64,0.05,0.09,1.99
69,Harry Potter and the Chamber of Secrets,PS,2002,Adventure,Electronic Arts  ,Argonaut Games  ,,,0.75,1.09,0.02,0.12,1.98
70,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ  ,Art  ,,,0.59,1.23,,0.13,1.94
71,Zork,Series,1980,Adventure,Infocom  ,"Infocom, Inc.  ",,,,,,,
72,The Legend of Zelda: Oracle of Ages,GBC,2001,Adventure,Nintendo  ,Flagship  ,9.4,,0.92,0.53,0.41,0.06,1.92
73,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment  ,Supermassive Games Ltd.  ,,,0.62,0.92,0.06,0.3,1.9
74,The Legend of Zelda: Oracle of Seasons,GBC,2001,Adventure,Nintendo  ,Flagship  ,9.3,,0.87,0.52,0.41,0.06,1.86
75,Star Fox Adventures,GC,2002,Adventure,Nintendo  ,Rare Ltd.  ,8.1,,0.96,0.53,0.3,0.09,1.87
76,The Legend of Zelda: The Minish Cap,GBA,2005,Adventure,Nintendo  ,Flagship  ,8.9,,0.89,0.22,0.22,0.1,1.42
77,Star Wars Episode I: The Phantom Menace,PS,1999,Adventure,LucasArts  ,Big Ape Productions  ,,,0.72,0.89,0.04,0.1,1.74
78,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo  ,Intelligent Systems  ,7.3,,0.85,0.31,0.56,0.04,1.76
79,"Monsters, Inc.",GBA,2001,Adventure,THQ  ,Artificial Mind and Movement  ,,,0.59,0.95,0.03,0.1,1.67
80,Prince of Persia: Warrior Within,PS2,2004,Adventure,Ubisoft  ,Ubisoft Montreal  ,,,0.54,0.88,,0.22,1.64
81,SpongeBob's Atlantis SquarePantis,DS,2007,Adventure,THQ  ,Altron  ,,,1.49,0.0,,0.11,1.61
82,Metroid Fusion,GBA,2002,Adventure,Nintendo  ,Nintendo R&D1  ,9.0,,1.18,0.27,0.17,0.06,1.68
83,L.A. Noire: The Complete Edition,PC,2011,Adventure,Rockstar Games  ,Rockstar Leeds  ,,,0.09,0.13,,0.03,0.25
84,LEGO Harry Potter: Years 1-4,X360,2010,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.9,,0.95,0.5,,0.14,1.59
85,Amnesia,Series,2010,Adventure,Frictional Games  ,Frictional Games  ,,,,,,,
86,Disney Fairies: Tinker Bell,DS,2008,Adventure,Disney Interactive Studios  ,Hyde  ,,,0.85,0.51,0.01,0.15,1.52
87,Amerzone,All,1999,Adventure,Ubisoft  ,Microids  ,,,,,,,
88,Dracula: Resurrection,Series,2000,Adventure,DreamCatcher Interactive  ,Index+  ,,,,,,,
89,Myst III: Exile,All,2001,Adventure,Ubisoft  ,Presto Studios  ,,,,,,,
90,Rugrats: Search For Reptar,PS,1998,Adventure,THQ  ,n-Space  ,,,1.63,1.53,,0.18,3.34
91,Runaway,Series,2003,Adventure,Tri Synergy  ,Pendulo Studios  ,,,,,,,
92,Bratz: Forever Diamondz,DS,2006,Adventure,THQ  ,Barking Lizards  ,,,0.43,0.88,,0.18,1.48
93,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ  ,Altron  ,,,0.99,0.35,,0.14,1.48
94,Assassin's Creed III: Liberation,PSV,2012,Adventure,Ubisoft  ,Ubisoft  ,,,0.53,0.57,0.06,0.32,1.48
95,Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios  ,1st Playable Productions  ,,,1.12,0.2,,0.12,1.44
96,The Legend of Zelda: Twilight Princess,GC,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,,1.15,0.36,0.04,0.04,1.59
97,Super Metroid,SNES,1994,Adventure,Nintendo  ,Intelligent Systems  ,8.0,,0.57,0.12,0.71,0.02,1.42
98,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Adventure,LucasArts  ,Traveller's Tales  ,7.5,,0.9,0.38,,0.13,1.41
99,LEGO Indiana Jones: The Original Adventures,PS2,2008,Adventure,LucasArts  ,Traveller's Tales  ,,,0.6,0.01,,0.76,1.37
100,LEGO Harry Potter: Years 1-4,PS3,2010,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.9,,0.55,0.61,,0.21,1.37
101,Amnesia: The Dark Descent,All,2010,Adventure,Frictional Games  ,Frictional Games  ,,,,,,,
102,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios  ,Papaya Studios  ,,,1.22,0.03,,0.1,1.35
103,The Legend of Zelda: Tri Force Heroes,3DS,2015,Adventure,Nintendo  ,GREZZO  ,7.4,,0.61,0.34,0.19,0.09,1.24
104,The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment  ,Bluepoint Games  ,9.0,,0.67,0.36,0.13,0.18,1.34
105,Grand Theft Auto: Chinatown Wars,DS,2009,Adventure,Rockstar Games  ,Rockstar Leeds/North  ,9.5,9.6,0.58,0.56,0.05,0.14,1.33
106,Rugrats Studio Tour,PS,1999,Adventure,THQ  ,n-Space  ,,,0.57,0.67,,0.07,1.31
