Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Momotaro Dentetsu,Series,1988,Board+Game,Hudson Soft  ,Hudson Soft  ,,,,,,,
2,Monopoly for Nintendo Switch,NS,2017,Board+Game,Ubisoft  ,Engine Software  ,5.3,,0.06,0.22,0.01,0.02,0.3
3,Mahjong * Dream C Club,X360,2012,Board+Game,D3 Publisher  ,D3 Publisher  ,,,,,0.02,,0.02
4,Billion Road,NS,2018,Board+Game,Bandai Namco Games  ,Bandai Namco Games  ,,,,,0.01,,0.01
5,Battle Chess,All,1988,Board+Game,Interplay Productions  ,Interplay Productions  ,,,,,,,
6,Carcassonne,NS,2018,Board+Game,Asmodee Digital  ,Asmodee Digital  ,,,,,,,
7,Catan Universe,NS,2019,Board+Game,Asmodee Digital  ,Asmodee Digital  ,,,,,,,
8,Chess Ultra,NS,2017,Board+Game,Ripstone  ,Ripstone  ,,,,,,,
9,Chessmaster,Series,1986,Board+Game,Software Country  ,Ubisoft  ,,,,,,,
10,Conduct Exam,CD32,N/A,Board+Game,Unknown  ,ThinkArts  ,,,,,,,
11,Fable Fortune,PC,2018,Board+Game,Mediatonic  ,Mediatonic  ,,,,,,,
12,Fable Fortune,XOne,2018,Board+Game,Mediatonic  ,Mediatonic  ,,,,,,,
13,Munchkin: Quacked Quest,NS,2019,Board+Game,Asmodee Digital  ,Asmodee Digital  ,,,,,,,
14,Othello,NS,2017,Board+Game,Arc System Works  ,Arc System Works  ,,,,,,,
15,Pandemic,NS,2019,Board+Game,Asmodee Digital  ,Asmodee Digital  ,,,,,,,
16,Physical Contact: SPEED,NS,2017,Board+Game,Collavier Corporation  ,Collavier Corporation  ,,,,,,,
17,Poisoft Thud Card,NS,2018,Board+Game,Poisoft  ,Poisoft  ,,,,,,,
18,The Lord of the Rings: Adventure Card Game,NS,2019,Board+Game,Asmodee Digital  ,Fantasy Flight Interactive  ,,,,,,,
19,UNO,NS,2017,Board+Game,Ubisoft  ,Ubisoft  ,,,,,,,
20,Warhammer Age of Sigmar: Champions,NS,2019,Board+Game,Games Workshop  ,Games Workshop  ,,,,,,,
21,Wily & Right no RockBoard: That's Paradise,NES,N/A,Board+Game,Unknown  ,Capcom  ,,,,,,,
22,Wingspan,NS,N/A,Board+Game,Unknown  ,Monster Couch  ,,,,,,,
