Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,The Oregon Trail,Series,2071,Education,MECC  ,MECC  ,,,,,,,
2,Dr. Brain,Series,1991,Education,Sierra Online   ,Sierra On-Line  ,,,,,,,
3,It's Spring Again,PC,N/A,Education,Unknown  ,Baba Yaga Games  ,,,,,,,
4,Influent,PC,2014,Education,Three Flip Studios  ,Rob Howland  ,,,,,,,
5,Brain Age: Concentration Training,3DS,2013,Education,Nintendo  ,Nintendo  ,7.5,,0.08,,,0.01,0.09
6,3-D Body Adventure,PC,1994,Education,Knowledge Adventure  ,Knowledge Adventure  ,,,,,,,
7,Fisher Price: Time to Play Pet Shop,PC,2001,Education,Knowledge Adventure  ,Knowledge Adventure  ,,,,,,,
8,Jump*Start 1st Grade,PC,1995,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
9,Jump*Start Kindergarten,PC,1994,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
10,Jump*Start Math for Second Graders,PC,1996,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
11,3D Dinosaur Adventure,MSD,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
12,3D Dinosaur Adventure,PC,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
13,Dr. Brain Thinking Games: IQ Adventure,PC,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
14,Dr. Brain Thinking Games: Puzzle Madness,PC,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
15,Dr. Brain: Action Reaction,PC,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
16,Island Saver,XOne,N/A,Education,Unknown  ,Stormcloud Games  ,,,,,,,
17,Island Saver,PS4,N/A,Education,Unknown  ,Stormcloud Games  ,,,,,,,
18,Island Saver,PC,N/A,Education,Unknown  ,Stormcloud Games  ,,,,,,,
19,Island Saver,NS,N/A,Education,Unknown  ,Stormcloud Games  ,,,,,,,
20,Knowledge Adventure: The Game,PC,N/A,Education,Unknown  ,Knowledge Adventure Inc.  ,,,,,,,
21,Minna no Doubutsu Shogi,NS,2019,Education,Silver Star Japan  ,Silver Star Japan  ,,,,,,,
22,PixelMaker Studio,WiiU,2019,Education,Unknown  ,TBD  ,,,,,,,
23,SCOOP! Around the World in 80 Spaces,WiiU,2019,Education,BNC Design Studios  ,BNC Design Studios  ,,,,,,,
24,SDK Spriter,WiiU,N/A,Education,Unknown  ,TBD  ,,,,,,,
25,The Adventures of Dr. Brain,PC,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
