Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Mortal Kombat,Series,1992,Fighting,Midway  ,Avalanche Software  ,,,,,,,
2,WWE 2K,Series,2000,Fighting,THQ  ,Visual Concepts  ,,,,,,,
3,Super Smash Bros.,Series,1999,Fighting,Nintendo  ,Nintendo  ,,,,,,,
4,Tekken,Series,1994,Fighting,Namco  ,Bandai Namco Studios  ,,,,,,,
5,Street Fighter,Series,1987,Fighting,Capcom  ,Capcom  ,,,,,,,
6,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
7,Naruto: Ultimate Ninja,Series,2006,Fighting,Bandai Namco Entertainment  ,CyberConnect2  ,,,,,,,
8,SoulCalibur,Series,1996,Fighting,Namco  ,Project Soul  ,,,,,,,
9,Naruto: Ultimate Ninja Storm,Series,2008,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,,,,,
10,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
11,Mortal Kombat 11,All,2019,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,,,,,
12,Dragon Ball Xenoverse,Series,2015,Fighting,Bandai Namco Games  ,Dimps Corporation  ,,,,,,,
13,Mortal Kombat X,All,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,,,,,
14,Marvel vs. Capcom,Series,1996,Fighting,Capcom  ,Capcom  ,,,,,,,
15,Dead or Alive,Series,1998,Fighting,Tecmo  ,Team Ninja  ,,,,,,,
16,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo  ,Bandai Namco Games  ,8.4,,3.73,1.5,2.55,0.54,8.32
17,Street Fighter IV,All,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,,,,,,,
18,Tekken 3,PS,1998,Fighting,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
