Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,World of WarCraft,Series,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
2,Guild Wars,Series,2005,MMO,NCSoft  ,ArenaNet  ,,,,,,,
3,World of Warcraft,PC,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,8.0,0.12,6.24,,,6.35
4,World of Warcraft: Cataclysm,PC,2010,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.0,,1.77,0.32,,,2.09
5,World of Warcraft: Wrath of the Lich King,PC,2008,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,9.3,0.01,0.13,,1.18,1.32
6,World of Warcraft: Shadowlands,PC,2020,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
7,World of Warcraft: The Burning Crusade,PC,2007,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,,2.57,1.52,,,4.09
8,World of Warcraft: Battle for Azeroth,PC,2018,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,0.06,,0.0,0.07
9,World of Warcraft: Legion,PC,2016,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.17,0.27,,0.04,0.48
10,World of Warcraft: Warlords of Draenor,PC,2014,MMO,Activision Blizzard  ,Blizzard Entertainment  ,,,0.08,0.36,,0.03,0.47
11,World of Warcraft: Mists of Pandaria,PC,2012,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.84,0.76,,0.2,1.81
12,The Elder Scrolls Online: Tamriel Unlimited,PS4,2015,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.74,0.98,,0.33,2.05
13,Final Fantasy XI: Online,All,2004,MMO,Sony Computer Entertainment  ,Square  ,,,,,,,
14,Final Fantasy XIV Online,PC,2010,MMO,Square Enix  ,Square Enix  ,5.3,,0.93,0.48,,0.16,1.58
15,The Elder Scrolls Online: Tamriel Unlimited,XOne,2015,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.86,0.39,,0.13,1.38
16,Black Desert Online,PC,2016,MMO,Kakao Games  ,Pearl Abyss  ,,,,,,,
17,Miscreated,PC,N/A,MMO,Unknown  ,Entrada Interactive  ,,,,,,,
18,The Elder Scrolls Online,PC,2014,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.35,0.59,,0.08,1.02
19,Dragon Quest X,All,2012,MMO,Square Enix  ,Square Enix  ,,,,,,,
20,Final Fantasy XIV Online,PS3,2013,MMO,Square Enix  ,Square Enix  ,,,0.39,0.09,0.28,0.11,0.87
21,Final Fantasy XIV: A Realm Reborn,PS4,2014,MMO,Square Enix  ,Square Enix  ,,,0.35,0.23,0.08,0.12,0.79
22,Dragon Quest X,Wii,N/A,MMO,Unknown  ,Square Enix  ,,,,,0.97,,0.97
23,DC Universe Online,PS3,2011,MMO,Sony Online Entertainment  ,WBIE  ,6.5,,0.35,0.11,,0.06,0.51
24,Dragon Quest X,WiiU,2013,MMO,Square Enix  ,Square Enix  ,,,,,0.42,,0.42
25,Final Fantasy XI: Online,PS2,2004,MMO,Square Enix  ,Square Enix  ,8.4,,0.08,0.06,0.15,0.02,0.32
26,The Elder Scrolls Online: Morrowind,PS4,2017,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.11,0.09,,0.04,0.24
27,DC Universe Online,PC,2011,MMO,Sony Online Entertainment  ,WBIE  ,7.0,,0.16,0.06,,0.02,0.23
28,Tower Unite,PC,N/A,MMO,Unknown  ,PixelTail Games  ,,,,,,,
29,Bless Online,PC,N/A,MMO,Unknown  ,Neowiz Corporation  ,,,,,,,
30,Dragon Quest X,3DS,2014,MMO,Square Enix  ,Square Enix  ,,,,,0.17,,0.17
31,Final Fantasy XIV: Heavensward,PS4,2015,MMO,Square Enix  ,Square Enix  ,,,,0.09,0.06,0.02,0.17
32,Final Fantasy XIV: Stormblood,PS4,2017,MMO,Square Enix  ,Square Enix  ,,,0.05,0.06,0.04,0.02,0.17
33,WildStar,PC,2014,MMO,Carbine Studios  ,Carbine Studios  ,,,0.08,0.07,,0.01,0.16
34,The Elder Scrolls Online: Morrowind,XOne,2017,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.09,0.03,,0.01,0.14
35,The Elder Scrolls Online: Summerset,XOne,2018,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.09,0.01,,0.01,0.11
36,Gloria Victis,PC,2016,MMO,Black Eye Games  ,Black Eye Games  ,,,,,,,
37,The Elder Scrolls Online: Summerset,PS4,2018,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,7.5,,0.08,,,0.02,0.1
38,Final Fantasy XIV Online Complete Edition,PS4,2017,MMO,Square Enix  ,Square Enix  ,,,0.07,,0.02,0.02,0.1
39,Final Fantasy XIV: Stormblood,PC,2017,MMO,Square Enix  ,Square Enix  ,,,0.04,0.02,,0.01,0.06
40,The Elder Scrolls Online: Morrowind,PC,2017,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.02,0.03,,0.0,0.05
41,Dragon Quest X: All in One Package,NS,2017,MMO,Square Enix  ,Square Enix  ,,,,,0.04,,0.04
42,Final Fantasy XIV: Heavensward,PS3,2015,MMO,Square Enix  ,Square Enix  ,,,0.02,,0.01,0.0,0.04
43,Final Fantasy XIV: Heavensward,PC,2015,MMO,Square Enix  ,Square Enix  ,,,0.02,0.01,,0.0,0.03
44,Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,WiiU,2017,MMO,Square Enix  ,Square Enix  ,,,,,0.03,,0.03
45,Dragon Quest X: All in One Package Ver.1-4,NS,2018,MMO,Square Enix  ,Square Enix  ,,,,,0.03,,0.03
