Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Fit,Series,2008,Misc,Nintendo  ,Nintendo  ,,,,,,,
2,Minecraft,PC,2010,Misc,Mojang  ,Mojang AB  ,10.0,,,,,,
3,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92
4,Simple,Series,2002,Misc,Agetec  ,Bandai Namco Studios  ,,,,,,,
5,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16
6,Garry's Mod,PC,2006,Misc,Valve  ,Facepunch Studios  ,,,,,,,
7,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo  ,Nintendo SDD  ,8.0,,3.43,5.36,5.32,1.18,15.29
8,Minecraft,X360,2013,Misc,Microsoft Studios  ,Mojang  ,,,5.96,2.94,0.02,0.9,9.82
9,Ring Fit Adventure,NS,2019,Misc,Nintendo  ,Nintendo EPD  ,,,,,,,
10,Just Dance 3,Wii,2011,Misc,Ubisoft  ,Ubisoft Paris  ,7.5,,5.95,3.13,,1.06,10.14
11,Wii Party,Wii,2010,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0,,1.75,3.51,2.49,0.66,8.41
12,Mario Party DS,DS,2007,Misc,Nintendo  ,Hudson Soft  ,7.1,,4.4,1.86,1.98,0.69,8.93
13,Mario Party 8,Wii,2007,Misc,Nintendo  ,Hudson Soft  ,6.5,,3.74,2.27,1.58,0.7,8.3
14,Minecraft,PS4,2014,Misc,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
15,Big Brain Academy,DS,2006,Misc,Nintendo  ,Nintendo EAD  ,7.7,,1.66,2.75,1.6,0.62,6.63
16,Minecraft,PS3,2014,Misc,Sony Computer Entertainment America  ,Mojang  ,,,2.21,2.86,,0.99,6.05
17,Minecraft,XOne,2014,Misc,Microsoft Studios  ,Mojang  ,,,3.23,1.71,,0.49,5.43
18,Pokémon Pinball,GBC,1999,Misc,Nintendo  ,Jupiter Corporation  ,8.7,,3.02,1.12,1.01,0.16,5.31
19,The Forest,PC,2014,Misc,Endnight Games Ltd   ,Unknown  ,,,,,,,
20,Just Dance 2,Wii,2010,Misc,Ubisoft  ,Ubisoft Paris  ,7.3,,5.8,2.86,0.01,0.77,9.45
21,Guitar Hero II,PS2,2006,Misc,RedOctane  ,Harmonix Music Systems  ,9.2,,3.81,0.63,,0.68,5.12
22,Guitar Hero III: Legends of Rock,PS2,2007,Misc,RedOctane  ,BudCat Creations  ,8.2,,3.49,0.01,0.01,1.48,4.98
23,Guitar Hero III: Legends of Rock,Wii,2007,Misc,RedOctane  ,Vicarious Visions  ,8.6,,3.04,1.12,0.0,0.44,4.6
24,Guitar Hero III: Legends of Rock,X360,2007,Misc,RedOctane  ,Neversoft  ,8.7,,3.19,0.91,0.01,0.42,4.53
25,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft  ,Ubisoft Montpellier  ,5.6,,2.64,1.33,0.01,0.39,4.37
26,Starbound,PC,2014,Misc,"Infocom, Inc.  ",Unknown  ,,,,,,,
27,Just Dance,Wii,2009,Misc,Ubisoft  ,Ubisoft Paris  ,5.4,,3.48,2.99,,0.73,7.21
28,Namco Museum,GBA,2001,Misc,Namco  ,Mass Media  ,,,3.0,1.11,0.05,0.07,4.24
29,Counter-Strike,PC,2000,Misc,Sierra Studios  ,Unknown  ,,,,,,,
30,Carnival Games,Wii,2007,Misc,Global Star Software  ,Cat Daddy Games  ,4.2,,2.12,1.47,0.05,0.42,4.06
31,Namco Museum Vol.3,PS,1997,Misc,Namco  ,Namco  ,,,2.28,1.55,0.16,0.06,4.05
32,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,7.5,,0.88,2.3,0.2,0.83,4.2
33,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco  ,Digital Eclipse  ,,,2.08,1.35,,0.54,3.98
34,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo  ,Plato  ,,,,0.99,2.32,0.02,3.33
35,Namco Museum Vol.1,PS,1996,Misc,Namco  ,Namco  ,,,2.12,1.44,0.22,0.06,3.84
36,Tomodachi Collection,DS,2009,Misc,Nintendo  ,Nintendo SPD Group No.1  ,,,,,3.67,,3.67
37,Guitar Hero: World Tour,Wii,2008,Misc,Activision  ,Vicarious Visions  ,8.4,,2.32,0.96,,0.34,3.62
38,Guitar Hero: On Tour,DS,2008,Misc,Activision  ,Vicarious Visions  ,7.1,8.1,2.1,1.01,0.01,0.35,3.46
39,Crash Bash,PS,2000,Misc,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,6.8,,1.56,1.47,0.19,0.17,3.39
