Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Just Dance,Series,2009,Music,Ubisoft  ,Ubisoft  ,,,,,,,
2,Guitar Hero,Series,2005,Music,Activision  ,Harmonix  ,,,,,,,
3,SingStar,Series,2004,Music,Sony Computer Entertainment Europe  ,London Studios  ,,,,,,,
4,Dance Dance Revolution,Series,1998,Music,Konami  ,Konami  ,,,,,,,
5,Taiko no Tatsujin,Series,2004,Music,Namco  ,Bandai Namco Studios  ,,,,,,,
6,The Experience,Series,2010,Music,Ubisoft  ,Ubisoft  ,,,,,,,
7,Guitar Hero III: Legends of Rock,All,2007,Music,Activision  ,Neversoft  ,,,,,,,
8,Just Dance 3,All,2011,Music,Ubisoft  ,Ubisoft  ,,,,,,,
9,Just Dance 4,Wii,2012,Music,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89
10,Hatsune Miku: Project,Series,2012,Music,Sega  ,Sega  ,,,,,,,
11,Guitar Hero World Tour,All,2008,Music,Activision  ,Neversoft  ,,,,,,,
12,Rhythm Heaven,Series,2009,Music,Nintendo  ,Nintendo  ,,,,,,,
13,Guitar Hero II,All,2006,Music,RedOctane  ,Harmonix Music Systems  ,,,,,,,
14,Just Dance 2015,All,2014,Music,Ubisoft  ,Ubisoft  ,,,,,,,
15,Rocksmith,Series,2011,Music,Ubisoft  ,Ubisoft  ,,,,,,,
16,Just Dance 2014,Wii,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.4,,1.91,1.66,,0.33,3.89
17,Guitar Hero: Aerosmith,All,2008,Music,Activision  ,Neversoft  ,,,,,,,
18,Rhythm Heaven,DS,2009,Music,Nintendo  ,Nintendo SPD Group No.1  ,8.5,,0.55,0.5,1.93,0.14,3.12
19,Wii Music,Wii,2008,Music,Nintendo  ,Nintendo EAD  ,5.6,,1.35,1.12,0.46,0.32,3.25
20,Dance Central,X360,2010,Music,MTV Games  ,Harmonix Music Systems  ,8.4,,2.15,0.76,0.01,0.26,3.18
21,Just Dance 2015,Wii,2014,Music,Ubisoft  ,Ubisoft Paris  ,,,1.0,0.91,,0.18,2.09
22,Dance Central 2,X360,2011,Music,Microsoft  ,Harmonix Music Systems  ,8.6,,1.45,0.41,0.01,0.16,2.04
23,Beat Saber,All,2019,Music,Beat Games  ,Beat Games  ,,,,,,,
24,Michael Jackson: The Experience,All,2010,Music,Ubisoft  ,Ubisoft  ,,,,,,,
25,Guitar Hero: Metallica,All,2009,Music,Activision  ,Neversoft  ,,,,,,,
26,Guitar Hero Live,PS4,2015,Music,Activision  ,FreeStyleGames  ,,,0.52,0.49,,0.2,1.21
27,Just Dance 4,X360,2012,Music,Ubisoft  ,Ubisoft  ,,,0.9,0.19,,0.12,1.21
28,DJ Hero,All,2009,Music,Activision  ,FreeStyle Games  ,,,,,,,
29,Just Dance 2016,Wii,2015,Music,Ubisoft  ,Ubisoft Paris  ,,,0.43,0.58,,0.09,1.11
30,Rocksmith 2014,PS3,2013,Music,Ubisoft  ,Ubisoft San Francisco  ,9.1,,0.56,0.26,0.05,0.17,1.05
31,Just Dance 2014,X360,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.6,,0.75,0.18,,0.1,1.03
32,Beatmania,Series,1997,Music,Konami  ,Konami  ,,,,,,,
33,Guitar Hero 5,All,2009,Music,Activision  ,Neversoft  ,,,,,,,
34,Rhythm Heaven Megamix,3DS,2016,Music,Nintendo  ,Nintendo  ,8.8,,,0.06,0.73,0.0,0.8
35,Taiko no Tatsujin: Drum 'n' Fun!,NS,2018,Music,Bandai Namco Games  ,Bandai Namco Games  ,7.5,,,0.08,0.27,0.01,0.36
36,Just Dance 2017,Wii,2016,Music,Ubisoft  ,Ubisoft Paris  ,,,0.4,0.51,,0.08,1.0
37,Rocksmith 2014,X360,2013,Music,Ubisoft  ,Ubisoft San Francisco  ,8.4,,0.73,0.16,0.0,0.1,0.99
38,Rhythm Heaven Fever,Wii,2012,Music,Nintendo  ,Nintendo / TNX  ,,,0.11,,0.77,0.01,0.89
39,Dance Central 3,X360,2012,Music,Microsoft  ,Harmonix Music Systems  ,,,0.57,0.19,,0.07,0.83
40,Guitar Hero Live,XOne,2015,Music,Activision  ,FreeStyleGames  ,,,0.52,0.23,,0.08,0.83
41,Just Dance 2019,NS,2018,Music,Ubisoft  ,Ubisoft Paris  ,,,0.43,0.26,,0.07,0.76
42,Just Dance 2018,NS,2017,Music,Ubisoft  ,Ubisoft Paris  ,8.0,,0.3,0.4,,0.06,0.76
43,Rock Band 4,XOne,2015,Music,Harmonix Music Systems  ,Harmonix Music Systems  ,,,0.62,0.05,,0.08,0.75
44,Just Dance 2015,WiiU,2014,Music,Ubisoft  ,Ubisoft Paris  ,,,0.4,0.29,,0.07,0.75
45,Rocksmith 2014,PC,2016,Music,Ubisoft  ,Ubisoft San Francisco  ,9.0,,0.39,0.24,,0.06,0.7
46,Rocksmith 2014,PS4,2016,Music,Ubisoft  ,Ubisoft San Francisco  ,,,0.38,0.17,,0.12,0.67
47,Taiko no Tatsujin Wii: Super Deluxe Edition,Wii,2012,Music,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.66,,0.66
48,Just Dance 2014,WiiU,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.5,,0.34,0.25,,0.06,0.64
49,Just Dance 2015,X360,2014,Music,Ubisoft  ,Ubisoft Paris  ,,,0.42,0.13,,0.06,0.61
50,Just Dance 2016,WiiU,2015,Music,Ubisoft  ,Ubisoft Paris  ,,,0.29,0.25,,0.05,0.6
51,Rock Band 4,PS4,2015,Music,Harmonix Music Systems  ,Harmonix Music Systems  ,,,0.41,0.06,,0.1,0.57
52,Hatsune Miku: Project Diva Future Tone,PS4,2017,Music,Sega  ,Sega  ,,,,,,,
53,Lips: Number One Hits,X360,2009,Music,Microsoft Game Studios  ,iNiS  ,,,0.15,0.34,,0.06,0.55
54,Just Dance 2015,XOne,2014,Music,Ubisoft  ,Ubisoft Paris  ,8.1,,0.36,0.13,,0.05,0.54
55,Just Dance 2014,XOne,2013,Music,Ubisoft  ,Ubisoft Paris  ,,,0.31,0.12,,0.04,0.48
56,Just Dance 2014,PS4,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.5,,0.21,0.18,,0.08,0.47
57,Just Dance 4,PS3,2012,Music,Ubisoft  ,Ubisoft  ,,,0.26,0.11,,0.08,0.45
58,Just Dance 2017,WiiU,2016,Music,Ubisoft  ,Ubisoft Paris  ,,,0.19,0.21,,0.04,0.43
59,Rocksmith 2014,XOne,2016,Music,Ubisoft  ,Ubisoft San Francisco  ,9.0,,0.31,0.08,,0.04,0.43
60,Just Dance 2015,PS4,2014,Music,Ubisoft  ,Ubisoft Paris  ,,,0.21,0.13,,0.07,0.41
61,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Music,Square Enix  ,Square Enix  ,,,0.16,0.08,0.15,0.02,0.41
62,Just Dance 2018,Wii,2017,Music,Ubisoft  ,Ubisoft Paris  ,,,0.14,0.22,,0.03,0.39
63,Just Dance 2016,PS4,2015,Music,Ubisoft  ,Ubisoft Paris  ,,,0.19,0.13,,0.07,0.39
64,Just Dance 2014,PS3,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.8,,0.17,0.15,,0.07,0.39
65,Hatsune Miku: Project DIVA F,All,2014,Music,Sega  ,Sega  ,,,,,,,
66,Just Dance 4,WiiU,2012,Music,Ubisoft  ,Ubisoft  ,,,0.21,0.14,,0.03,0.38
67,Just Dance 2016,XOne,2015,Music,Ubisoft  ,Ubisoft Paris  ,,,0.3,0.04,,0.04,0.38
