Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Mario Party,Series,1999,Party,Nintendo  ,Hudson Soft  ,,,,,,,
2,Wii Play,Series,2007,Party,Nintendo  ,Nintendo  ,,,,,,,
3,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1
4,Super Mario Party,NS,2018,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",7.3,,2.12,1.64,0.85,0.36,4.97
5,Wii Party,Series,2010,Party,Nintendo  ,NDcube  ,,,,,,,
6,Fall Guys: Ultimate Knockout,PC,2020,Party,Devolver Digital  ,Mediatonic  ,,,,,,,
7,Buzz!,Series,2005,Party,Sony Computer Entertainment Europe  ,Relentless Software  ,,,,,,,
8,Carnival Games,Series,2007,Party,Global Star Software  ,Cat Daddy Games  ,,,,,,,
9,Carnival Games,All,2007,Party,Global Star Software  ,Cat Daddy Games  ,,,,,,,
10,WarioWare,Series,2003,Party,Nintendo  ,Nintendo  ,,,,,,,
11,Clubhouse Games,Series,2006,Party,Nintendo  ,"Agenda, C.A. Production, NDcube  ",,,,,,,
12,Nintendo Land,WiiU,2012,Party,Nintendo  ,Nintendo  ,7.5,,2.52,1.23,0.51,0.38,4.63
13,1-2-Switch,NS,2017,Party,Nintendo  ,Nintendo EPD  ,5.7,,0.62,1.2,0.5,0.15,2.46
14,Clubhouse Games: 51 Worldwide Classics,NS,2020,Party,Nintendo  ,Nintendo  ,,,,,,,
15,Mario Party 9,Wii,2012,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",6.5,,1.06,1.15,0.77,0.22,3.2
16,"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",NS,2020,Party,Konami  ,Konami  ,,,,,,,
17,Mario Party: Island Tour,3DS,2013,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",5.5,,0.66,1.04,0.56,0.14,2.4
18,Wii Party U,WiiU,2013,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",6.6,,0.3,0.66,0.84,0.08,1.88
19,Rayman Raving Rabbids: TV Party,All,2008,Party,Ubisoft  ,Ubisoft Paris  ,,,,,,,
20,Move or Die,PC,N/A,Party,Unknown  ,Those Awesome Guys  ,,,,,,,
21,Mario Party: Star Rush,3DS,2016,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",6.2,,0.25,0.37,0.2,0.05,0.87
22,Mario Party: The Top 100,3DS,2017,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",5.0,,0.23,0.17,0.24,0.04,0.69
23,Knowledge is Power,PS4,2017,Party,Sony Interactive Entertainment  ,Wish Studio  ,,,0.05,0.47,,0.09,0.61
24,Animal Crossing: Amiibo Festival,WiiU,2015,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",4.8,,0.23,0.12,0.1,0.04,0.49
25,Momotaro Dentetsu 2017: Tachiagare Nippon!!,3DS,2016,Party,Nintendo  ,Valhalla Game Studios  ,,,,,0.4,,0.4
26,WipeOut 3 The Game,Wii,2012,Party,Activision  ,Behaviour Interactive  ,,,0.36,,,0.04,0.4
27,Ape Escape Academy,PSP,2006,Party,Sony Computer Entertainment  ,Shift  ,5.3,,0.13,0.15,,0.05,0.33
28,The Jackbox Party Pack 3,PC,2016,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
29,The Jackbox Party Pack,PC,2014,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
30,Sing Party,WiiU,2012,Party,Nintendo  ,FreeStyleGames  ,6.8,,0.15,0.13,,0.03,0.3
31,The Jackbox Party Pack 2,PC,2015,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
32,Carnival Games,NS,2018,Party,2K Games  ,Cat Daddy Games  ,,,0.11,0.14,,0.02,0.27
33,Game & Wario,WiiU,2013,Party,Nintendo  ,Intelligent Systems  ,6.2,,0.06,0.06,0.12,0.01,0.25
34,WipeOut 3 The Game,X360,2012,Party,Activision  ,Behaviour Interactive  ,,,0.2,,,0.02,0.22
35,WipeOut 3 The Game,3DS,2012,Party,Activision  ,Behaviour Interactive  ,,,0.19,,,0.02,0.22
36,Adorables,PC,N/A,Party,Unknown  ,White Rabbit Games  ,,,,,,,
37,Pac-Man Party 3D,3DS,2011,Party,Namco Bandai  ,Namco Bandai Games  ,,,0.09,0.04,,0.01,0.15
38,Ape Escape Academy (jp sales),PSP,2006,Party,Sony Computer Entertainment  ,Shift  ,,,,0.0,0.13,,0.14
39,Game Party Champions,WiiU,2012,Party,Warner Bros. Interactive Entertainment  ,Phosphor Studios  ,,,0.09,0.03,,0.01,0.13
40,WipeOut 3 The Game,WiiU,2012,Party,Activision  ,Behaviour Interactive  ,,,0.11,,,0.01,0.13
41,The Jackbox Party Pack 4,PC,2017,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
42,Whacked!,XB,2002,Party,Microsoft Game Studios  ,Presto Studios  ,,,0.07,0.02,,0.0,0.09
43,Carnival Games: Wild West 3D,3DS,2011,Party,2K Play  ,Cat Daddy Games  ,,,0.06,0.03,,0.01,0.09
44,Ape Escape: Pumped & Primed,PS2,2004,Party,Ubisoft  ,SCE Japan Studio  ,,,0.04,0.03,,0.01,0.08
45,America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,NS,2018,Party,Ubisoft  ,Ubisoft  ,,,0.06,,,0.01,0.06
46,Party Arcade,NS,2018,Party,Planet Entertainment  ,Solutions 2 Go  ,,,0.05,,,0.01,0.06
47,Carnival Games,PS4,2018,Party,2K Games  ,Cat Daddy Games  ,,,0.04,,,0.01,0.05
48,Carnival Games,XOne,2018,Party,2K Games  ,Cat Daddy Games  ,,,0.04,,,0.01,0.05
49,That's You!,PS4,2017,Party,Sony Interactive Entertainment  ,Wish Studio  ,,,0.04,,,0.01,0.04
50,PlayStation Move Ape Escape,PS3,2011,Party,Sony Computer Entertainment  ,SCE Japan Studio  ,4.0,,,0.03,,0.01,0.04
51,Rabbids Land,WiiU,2012,Party,Ubisoft  ,Ubisoft Paris  ,6.1,,0.01,0.01,,0.0,0.03
52,Hasbro Game Night for Nintendo Switch,NS,2018,Party,Ubisoft  ,Ubisoft  ,,,,0.01,,0.0,0.01
53,Just Deal With It,PS4,2018,Party,Wired Productions  ,Wired Productions  ,,,0.01,,,0.0,0.01
54,Funfair Party Games,3DS,2013,Party,Joindots  ,Avanquest Software  ,,,,0.0,,0.0,0.0
55,Ape Escape Academy,PSN,2009,Party,Sony Computer Entertainment  ,Shift  ,5.3,,,,,,
56,EyeToy: Monkey Mania,PS2,2005,Party,Sony Computer Entertainment  ,SCE Japan Studio  ,,,,,,,
57,A Gummy's Life,PC,N/A,Party,Unknown  ,EP Games  ,,,,,,,
58,A Gummy's Life,NS,N/A,Party,Unknown  ,EP Games  ,,,,,,,
59,Animal Force,PS4,2018,Party,Oasis Games Ltd.  ,ISVR  ,,,,,,,
