Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Tetris,Series,1989,Puzzle,Nintendo  ,Alexey Pajitnov  ,,,,,,,
2,Bejeweled,Series,2001,Puzzle,PopCap Games  ,PopCap Games  ,,,,,,,
3,Brain Age,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,
4,Tetris,GB,1989,Puzzle,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26
5,Portal,Series,2007,Puzzle,Valve  ,Valve  ,,,,,,,
6,Puyo Puyo,Series,2002,Puzzle,THQ  ,Compile  ,,,,,,,
7,Lemmings,Series,1991,Puzzle,Psygnosis  ,DMA Design  ,,,,,,,
8,Zuma,Series,2003,Puzzle,PopCap Games  ,Oberon Media  ,,,,,,,
9,Zuma,All,2003,Puzzle,PopCap Games  ,Oberon Media  ,,,,,,,
10,Portal,All,2007,Puzzle,Valve  ,Valve  ,,,,,,,
11,Scribblenauts,Series,2009,Puzzle,Warner Bros. Interactive Entertainment  ,5th Cell  ,,,,,,,
12,Bomberman,Series,1987,Puzzle,Hudson Soft  ,Hudson Soft  ,,,,,,,
13,The Room,Series,2012,Puzzle,Fireproof Games  ,Fireproof Games  ,,,,,,,
14,Big Brain Academy,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,
15,Monument Valley,Series,2014,Puzzle,Ustwo Games  ,Ustwo Games  ,,,,,,,
16,Pac-Man,2600,1982,Puzzle,Atari  ,Atari  ,,,7.28,0.45,,0.08,7.81
17,The Room,All,2012,Puzzle,Fireproof Games  ,Fireproof Games  ,,,,,,,
18,Mario vs. Donkey Kong,Series,2004,Puzzle,Nintendo  ,Nintendo Software Technology Corporation  ,,,,,,,
19,Tetris,NES,1989,Puzzle,Nintendo  ,Nintendo  ,,,2.97,0.69,1.81,0.11,5.58
20,Dr. Mario,GB,1990,Puzzle,Nintendo  ,Nintendo R&D1  ,,,2.18,0.96,2.0,0.2,5.34
21,Monument Valley,All,2014,Puzzle,Ustwo Games  ,Ustwo Games  ,,,,,,,
22,Yoshi,All,1992,Puzzle,Nintendo  ,Game Freak  ,,,,,,,
23,Dr. Mario,NES,1990,Puzzle,Nintendo  ,Nintendo R&D1  ,,,2.62,0.6,1.52,0.1,4.85
24,Monument Valley 2,All,2017,Puzzle,Ustwo Games  ,Ustwo Games  ,,,,,,,
25,The Room Two,All,2013,Puzzle,Fireproof Games  ,Fireproof Games  ,,,,,,,
26,Yoshi,GB,1992,Puzzle,Nintendo  ,Game Freak  ,,,1.57,0.62,0.73,,2.92
27,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo  ,Nintendo Software Technology Corporation  ,7.8,,1.63,0.51,0.35,0.18,2.68
28,Pac-Man Collection,GBA,2001,Puzzle,Namco  ,Mass Media  ,,,2.07,0.77,0.05,0.05,2.94
29,Captain Toad: Treasure Tracker,All,2014,Puzzle,Nintendo  ,Nintendo  ,,,,,,,
30,Tetris DS,DS,2006,Puzzle,Nintendo  ,Nintendo  ,8.5,,0.63,0.05,1.35,0.08,2.11
31,Yoshi's Cookie,All,1992,Puzzle,Nintendo  ,TOSE  ,,,,,,,
32,Lumines,Series,2005,Puzzle,Ubisoft  ,Q Entertainment  ,,,,,,,
33,WarioWare Touched!,DS,2005,Puzzle,Nintendo  ,Intelligent Systems  ,7.8,,0.51,0.45,1.21,0.13,2.3
34,Tetris Plus,PS,1996,Puzzle,Jaleco  ,Atlus Co.  ,,,2.1,0.24,,0.07,2.4
