Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Mario Kart,Series,1992,Racing,Nintendo  ,Nintendo  ,,,,,,,
2,Need for Speed,Series,1994,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
3,Gran Turismo,Series,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,
4,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98
5,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
6,Mario Kart DS,DS,2005,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
7,Driver,Series,1999,Racing,GT Interactive  ,Ubisoft Reflections  ,,,,,,,
8,Mario Kart 7,3DS,2011,Racing,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3.0,1.11,15.49
9,Midnight Club,Series,2000,Racing,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
10,Need for Speed: Most Wanted,All,2005,Racing,Electronic Arts  ,EA Canada  ,,,,,,,
11,Burnout,Series,2001,Racing,Acclaim Entertainment  ,Criterion Games  ,,,,,,,
12,Need for Speed: Underground,All,2003,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
13,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
14,Assetto Corsa,All,2014,Racing,Kunos Simulazioni  ,Kunos Simulazioni  ,,,,,,,
15,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,2.96,4.87,0.81,2.1,10.75
16,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,,3.01,0.01,1.1,7.53,11.66
17,Need for Speed: Underground 2,All,2004,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
18,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,,4.02,3.87,2.54,0.52,10.95
19,MX vs. ATV,Series,2001,Racing,Sony Computer Entertainment  ,Rainbow Studios  ,,,,,,,
20,Mario Kart 64,N64,1997,Racing,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87
21,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49
22,Super Mario Kart,SNES,1992,Racing,Nintendo  ,Nintendo EAD  ,10.0,,3.54,1.24,3.81,0.18,8.76
23,Mario Kart 8,WiiU,2014,Racing,Nintendo  ,Nintendo  ,8.8,,3.22,2.55,1.39,0.54,7.69
24,Cars,All,2006,Racing,THQ  ,Rainbow Studios  ,,,,,,,
25,Moto Racer,Series,1997,Racing,Electronic Arts  ,SK Software International  ,,,,,,,
26,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
27,DiRT,Series,2007,Racing,Codemasters  ,Codemasters  ,,,,,,,
28,Project Gotham Racing,Series,2001,Racing,Sega  ,Bizarre Creations  ,,,,,,,
29,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
30,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
31,Diddy Kong Racing,Series,1997,Racing,Nintendo  ,Rare Ltd.  ,,,,,,,
32,MotorStorm,Series,2007,Racing,Sony Computer Entertainment  ,Evolution Studios  ,,,,,,,
33,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47
34,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5
35,Need for Speed: ProStreet,All,2007,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
36,Gran Turismo 5 Prologue,PS3,2008,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,1.28,1.83,0.57,0.52,4.2
37,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment America  ,Polyphony Digital  ,,,0.77,1.87,0.41,0.49,3.54
38,Need for Speed: Undercover,All,2008,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
39,Ridge Racer,Series,1993,Racing,Namco  ,Namco  ,,,,,,,
