Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Call of Duty,Series,2003,Shooter,Activision  ,Infinity Ward  ,,,,,,,
2,Halo,Series,2001,Shooter,Microsoft Game Studios  ,Bungie  ,,,,,,,
3,Battlefield,Series,2002,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
4,Borderlands,Series,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
5,PlayerUnknown's Battlegrounds,All,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
6,PUBG,Series,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
7,Counter-Strike,Series,2000,Shooter,Valve  ,Valve  ,,,,,,,
8,Far Cry,Series,2004,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,
9,Uncharted,Series,2007,Shooter,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,
10,Star Wars: Battlefront,Series,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,
11,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve  ,Valve Corporation  ,,,,,,,
12,Medal of Honor,Series,1999,Shooter,Electronic Arts  ,"2015, Inc.  ",,,,,,,
13,BioShock,Series,2007,Shooter,2K Games  ,Irrational Games  ,,,,,,,
14,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
15,Tom Clancy's Rainbow Six,Series,1998,Shooter,Red Storm Entertainment  ,Ubisoft  ,,,,,,,
16,Tom Clancy's Ghost Recon,Series,2001,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,
17,Half-life,Series,1998,Shooter,Sierra Studios  ,Valve  ,,,,,,,
18,Call of Duty: Modern Warfare,All,2019,Shooter,Activision  ,Infinity Ward  ,,,,,,,
19,Duck Hunt,NES,1985,Shooter,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31
20,Ratchet & Clank,Series,2002,Shooter,Sony Computer Entertainment  ,Insomniac Games  ,,,,,,,
21,Borderlands 2,All,2012,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
22,Call of Duty: Black Ops,All,2010,Shooter,Activision  ,Treyarch  ,,,,,,,
23,Gears of War,Series,2006,Shooter,Microsoft Game Studios  ,Epic Games  ,,,,,,,
24,Call of Duty: Modern Warfare 2,All,2009,Shooter,Activision  ,Infinity Ward  ,,,,,,,
25,Sniper Elite,Series,2005,Shooter,Namco  ,Rebellion Developments  ,,,,,,,
26,Tom Clancy's The Division,Series,2016,Shooter,Ubisoft  ,Massive Entertainment  ,,,,,,,
27,Call of Duty: Ghosts,All,2013,Shooter,Activision  ,Infinity Ward  ,,,,,,,
28,Splatoon,Series,2015,Shooter,Nintendo  ,Nintendo  ,,,,,,,
29,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09
30,Counter-Strike: Source,PC,2004,Shooter,VU Games  ,Valve Software  ,9.3,,,0.07,,0.01,0.08
31,Battlefield 3,All,2011,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
