Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,The Sims,Series,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
2,Animal Crossing,Series,2002,Simulation,Nintendo  ,Nintendo  ,,,,,,,
3,Animal Crossing: New Horizons,NS,2020,Simulation,Nintendo  ,Nintendo  ,,,,,,,
4,Football Manager,Series,2004,Simulation,Sega  ,Sports Interactive  ,,,,,,,
5,Nintendogs,Series,2005,Simulation,Nintendo  ,Nintendo  ,,,,,,,
6,Farming Simulator,Series,2008,Simulation,Astragon  ,Giants Software  ,,,,,,,
7,Petz,Series,1995,Simulation,PF.Magic  ,PF Magic  ,,,,,,,
8,Nintendogs,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68
9,Imagine,Series,2007,Simulation,Ubisoft  ,Ubisoft  ,,,,,,,
10,SimCity,Series,1989,Simulation,Maxis  ,Maxis  ,,,,,,,
11,RollerCoaster Tycoon,Series,1999,Simulation,Hasbro Interactive  ,Chris Sawyer Productions  ,,,,,,,
12,Ace Combat,Series,1995,Simulation,Namco  ,Namco  ,,,,,,,
13,The Sims,All,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
14,Stardew Valley,All,2016,Simulation,ConcernedApe  ,ConcernedApe  ,,,,,,,
15,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9
16,Cooking Mama,Series,2006,Simulation,Majesco Entertainment  ,Cooking Mama Limited  ,,,,,,,
17,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.5,,2.5,3.46,5.33,0.86,12.14
18,Tomodachi,Series,2014,Simulation,Nintendo  ,Nintendo  ,,,,,,,
19,Stardew Valley,Series,2016,Simulation,Chucklefish  ,ConcernedApe  ,,,,,,,
20,The Sims 3,All,2009,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
21,The Sims 3,PC,2009,Simulation,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96
22,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
