Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,FIFA,Series,1993,Sports,EA Sports  ,Extended Play Productions (1991-1997)  ,,,,,,,
2,Madden NFL,Series,1988,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,
3,Wii Sports,Series,2006,Sports,Nintendo  ,Nintendo  ,,,,,,,
4,NBA 2K,Series,1999,Sports,Sega  ,Visual Concepts  ,,,,,,,
5,Pro Evolution Soccer,Series,1995,Sports,Konami  ,Konami  ,,,,,,,
6,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
7,NBA Live,Series,1994,Sports,EA Sports  ,EA Canada  ,,,,,,,
8,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9
9,Tony Hawk's,Series,1999,Sports,Activision  ,Neversoft  ,,,,,,,
10,FIFA 18,All,2017,Sports,Electronic Arts  ,EA Vancouver  ,,,,,,,
11,Mario & Sonic at the Olympic Games,Series,2007,Sports,Sega  ,Sega  ,,,,,,,
12,Tiger Woods PGA Tour,Series,1998,Sports,EA Sports  ,EA Redwood Shores  ,,,,,,,
13,Jikkyo Powerful Pro Yakyu,Series,1994,Sports,Konami  ,Konami  ,,,,,,,
14,Wii Fit,Wii,2008,Sports,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7
15,Wii Fit Plus,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,,9.01,8.51,2.53,1.76,21.81
16,FIFA 19,All,2018,Sports,EA Sports  ,EA Vancouver  ,,,,,,,
17,FIFA 11,All,2010,Sports,EA Sports  ,EA Canada  ,,,,,,,
18,Mario Tennis,Series,1995,Sports,Nintendo  ,Nintendo  ,,,,,,,
19,Backyard Sports,Series,1997,Sports,Humongous Entertainment  ,Humongous Entertainment  ,,,,,,,
20,Famista,Series,1986,Sports,Namco  ,Namco  ,,,,,,,
21,FIFA 13,All,2012,Sports,EA Sports  ,EA Canada  ,,,,,,,
22,Everybody's Golf,Series,1998,Sports,Sony Computer Entertainment  ,Camelot Software  ,,,,,,,
23,NBA 2K20,All,2019,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
24,NBA 2K19,All,2018,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
25,FIFA 18,PS4,2017,Sports,EA Sports  ,EA Vancouver  ,8.3,,1.27,8.64,0.15,1.73,11.8
26,Mario Golf,Series,1991,Sports,Nintendo  ,Nintendo  ,,,,,,,
27,NBA 2K21,All,2020,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
28,FIFA 17,PS4,2016,Sports,Electronic Arts  ,EA Canada  ,8.9,,1.26,7.95,0.12,1.61,10.94
29,Rocket League,All,2015,Sports,Psyonix  ,Psyonix  ,,,,,,,
30,Rocket League,Series,2015,Sports,Psyonix  ,Psyonix  ,,,,,,,
31,FIFA 10,All,2009,Sports,EA Sports  ,EA Canada  ,,,,,,,
32,FIFA 12,All,2011,Sports,EA Sports  ,EA Canada  ,,,,,,,
33,Mario & Sonic at the Olympic Games,All,2007,Sports,Sega  ,Sega Sports R&D  ,,,,,,,
34,NBA 2K18,All,2017,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
35,FIFA 19,PS4,2018,Sports,Electronic Arts  ,EA Sports  ,,,0.84,6.87,0.1,1.34,9.15
36,NBA 2K17,All,2016,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
37,FIFA 16,PS4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22
38,FIFA 13,PS3,2012,Sports,EA Sports  ,EA Canada  ,,,1.07,5.13,0.13,1.68,8.01
39,Kinect Sports,Series,2010,Sports,Microsoft Game Studios  ,Rare  ,,,,,,,
40,NBA 2K16,All,2015,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
41,FIFA 09,All,2008,Sports,EA Sports  ,EA Canada  ,,,,,,,
42,NBA 2K14,All,2013,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
43,NBA 2K15,All,2014,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
44,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
45,FIFA 14,PS3,2013,Sports,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61
