Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Worms,Series,1995,Strategy,Team17  ,Team17  ,,,,,,,
2,Civilization,Series,1991,Strategy,Microprose  ,Firaxis Games  ,,,,,,,
3,Total War,Series,2000,Strategy,Electronic Arts  ,Creative Assembly  ,,,,,,,
4,Age of Empires,Series,1997,Strategy,Microsoft  ,Ensemble Studios  ,,,,,,,
5,Command & Conquer,Series,1995,Strategy,Electronic Arts  ,Westwood Studios  ,,,,,,,
6,Yu-Gi-Oh!,Series,2002,Strategy,Konami  ,Konami  ,,,,,,,
7,StarCraft,Series,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
8,WarCraft,Series,1994,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
9,Fire Emblem,Series,2003,Strategy,Nintendo  ,Intelligent Systems  ,,,,,,,
10,Civilization VI,All,2016,Strategy,2K Games  ,Firaxis Games  ,,,,,,,
11,StarCraft,PC,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,0.0,0.04,,0.01,0.05
12,Nobunaga's Ambition,Series,1983,Strategy,KOEI  ,Koei  ,,,,,,,
13,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari  ,Frontier Developments  ,8.3,,0.01,0.22,,0.02,0.26
14,The Settlers,Series,1993,Strategy,Blue Byte  ,Blue Byte  ,,,,,,,
15,Sid Meier's Civilization V,PC,2010,Strategy,2K Games  ,Firaxis Games  ,8.9,,1.0,0.53,,0.17,1.7
16,Romance of the Three Kingdoms,Series,1985,Strategy,KOEI  ,Koei  ,,,,,,,
17,"Warhammer 40,000: Dawn of War",Series,2004,Strategy,THQ  ,Relic Entertainment  ,,,,,,,
18,Pikmin,Series,2001,Strategy,Nintendo  ,Nintendo  ,,,,,,,
19,StarCraft II: Wings of Liberty,PC,2010,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,2.6,1.7,,0.56,4.86
20,Age of Empires II: HD Edition,PC,2013,Strategy,Microsoft Studios  ,Hidden Path Entertainment  ,,,,,,,
21,Pokémon Stadium,N64,2000,Strategy,Nintendo  ,HAL Laboratory  ,7.5,,3.18,1.24,0.94,0.09,5.45
22,Warzone 2100,PS,1999,Strategy,Eidos Interactive  ,Pumpkin Studios  ,,,2.79,1.89,,0.33,5.01
23,Worms,All,1995,Strategy,Ocean Software  ,Team17  ,,,,,,,
24,This War of Mine,All,2014,Strategy,11 bit studios  ,11 bit studios  ,,,,,,,
25,This War of Mine,Series,2014,Strategy,11 bit studios  ,11 bit studios  ,,,,,,,
26,Warcraft III: Reign of Chaos,PC,2002,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,0.03,0.1,,0.01,0.14
27,Company of Heroes,Series,2006,Strategy,THQ  ,Relic Entertainment  ,,,,,,,
28,"Warhammer 40,000: Dawn of War",PC,2004,Strategy,THQ  ,Relic  ,8.8,,0.01,0.04,,0.0,0.05
29,Zoo Tycoon,PC,2001,Strategy,Microsoft  ,Blue Fang Games  ,7.1,,,0.03,,0.0,0.03
30,Pokémon Trading Card Game,GB,2000,Strategy,Nintendo  ,Hudson Soft  ,8.3,,1.49,0.73,1.38,0.1,3.7
31,Commandos,Series,1998,Strategy,Eidos Interactive  ,Pyro Studios  ,,,,,,,
32,Civilization II,All,1996,Strategy,Microprose  ,MicroProse  ,,,,,,,
33,Command & Conquer,All,1995,Strategy,Virgin Interactive  ,Westwood Studios  ,,,,,,,
34,Sid Meier's Civilization IV,PC,2005,Strategy,2K Games  ,Firaxis Games  ,9.4,,0.02,0.12,,0.02,0.16
35,Warcraft II: Tides of Darkness,PC,1996,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,1.7,2.27,,0.23,4.21
36,Pokémon Stadium 2,N64,2001,Strategy,Nintendo  ,HAL Laboratory  ,7.9,,1.02,0.36,1.13,0.23,2.73
37,Black & White,PC,2001,Strategy,Electronic Arts  ,Lionhead Studios  ,9.3,,,0.04,,0.0,0.04
38,Factorio,PC,2016,Strategy, Wube Software LTD.  , Wube Software LTD.  ,,,,,,,
39,Lords of the Realm II,All,1996,Strategy,Sierra Online   ,Impressions Games  ,,,,,,,
40,Warcraft III: The Frozen Throne,PC,2003,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,,0.58,0.87,,0.09,1.54
41,Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios  ,Westwood Studios  ,,,1.55,0.0,,,1.55
42,Theme Hospital,PC,1997,Strategy,Electronic Arts  ,Bullfrog Productions  ,5.5,,2.3,0.1,,,2.4
43,The Escapists,Series,2015,Strategy,Team17  ,Mouldy Toof Studios  ,,,,,,,
44,Age of Empires,PC,1997,Strategy,Microsoft  ,Ensemble Studios  ,,,0.01,,,0.0,0.01
45,Total War: WARHAMMER,PC,2016,Strategy,Sega  ,Creative Assembly  ,,,,0.21,,0.01,0.22
46,Sim Theme Park,PC,1999,Strategy,Electronic Arts  ,Bullfrog Productions  ,8.1,,2.04,0.04,,,2.08
47,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2002,Strategy,Konami  ,Konami Computer Entertainment Japan  ,,,1.64,0.36,,0.07,2.07
48,Pikmin 3 Deluxe,NS,2020,Strategy,Nintendo  ,Nintendo  ,,,,,,,
49,Plague Inc: Evolved,PC,2020,Strategy,Ndemic Creations  ,Ndemic Creations  ,,,,,,,
50,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft  ,Ensemble Studios  ,9.3,,0.01,0.08,,0.01,0.09
51,Age of Empires III,PC,2005,Strategy,Microsoft Game Studios  ,Ensemble Studios  ,8.3,,,0.33,,0.04,0.37
52,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive  ,Westwood Studios  ,9.3,,1.37,1.34,,0.14,2.85
53,Crusader Kings,Series,2004,Strategy,Paradox Interactive   ,Paradox Development  ,,,,,,,
54,Mario + Rabbids: Kingdom Battle,NS,2017,Strategy,Ubisoft  ,Ubisoft Milan  ,8.3,,1.1,1.08,0.22,0.2,2.59
55,Stellaris,PC,2016,Strategy,Paradox Interactive   ,Paradox Interactive  ,,,,0.05,,0.0,0.05
56,The Escapists,All,2015,Strategy,Team17  ,Mouldy Toof Studios  ,,,,,,,
57,Planetary Annihilation,PC,2014,Strategy,Nordic Games  ,Uber Entertainment  ,,,,0.0,,0.0,0.0
58,Plants vs. Zombies,PC,2009,Strategy,PopCap Games  ,PopCap Games  ,9.0,,,0.04,,0.0,0.05
59,Yu-Gi-Oh! Duel Monsters,GB,1998,Strategy,Konami  ,Konami Computer Entertainment Shinjuku  ,,,,,1.61,0.01,1.61
60,Pikmin,GC,2001,Strategy,Nintendo  ,Nintendo EAD  ,8.1,,0.78,0.25,0.56,0.04,1.63
61,ShellShock Live,PC,N/A,Strategy,Unknown  ,kChamp Games  ,,,,,,,
62,Civilization,All,1991,Strategy,Microprose  ,MicroProse  ,,,,,,,
63,Heroes of Might and Magic,Series,1995,Strategy,New World Computing  ,New World Computing  ,,,,,,,
64,Railroad Tycoon II,PC,1998,Strategy,Gathering of Developers  ,PopTop Software  ,8.3,,,,,,
65,Stronghold,All,2001,Strategy,Take-Two Interactive  ,FireFly Studios  ,,,,,,,
66,Stronghold,PC,2001,Strategy,Gathering of Developers  ,FireFly Studios  ,,,,0.1,,0.01,0.11
67,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive  ,Hellbent Games  ,5.0,,1.03,0.33,,0.12,1.48
68,Anno 2070,PC,2011,Strategy,Ubisoft  ,Blue Byte Studio  ,8.7,,,1.14,,0.26,1.4
69,Frostpunk,PC,2018,Strategy,11 bit studios  ,11 bit studios  ,,,,,,,
