Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,NEKOPARA Vol. 1,PC,N/A,Visual+Novel,Unknown  ,Neko Works  ,,,,,,,
2,NEKOPARA Vol. 0,PC,N/A,Visual+Novel,Unknown  ,Neko Works  ,,,,,,,
3,Doki Doki Literature Club Plus!,All,2021,Visual+Novel,Serenity Forge  ,Team Salvato  ,,,,,,,
4,Root Letter,All,2016,Visual+Novel,PQube  ,Kadokawa Games  ,,,,,,,
5,NEKOPARA Vol. 2,PC,N/A,Visual+Novel,Unknown  ,Neko Works  ,,,,,,,
6,Tricolour Lovestory,PC,N/A,Visual+Novel,Unknown  ,HL-Galgame  ,,,,,,,
7,Hatoful Boyfriend,PC,2014,Visual+Novel,Devolver Digital  ,Mediatonic Ltd.  ,,,,,,,
8,NEKOPARA Vol. 3,PC,N/A,Visual+Novel,Unknown  ,Neko Works  ,,,,,,,
9,The Lords of the Earth Flame,PC,N/A,Visual+Novel,Unknown  ,"Rhino Games, Inc.  ",,,,,,,
10,Russian Horror Story,PC,N/A,Visual+Novel,Unknown  ,Footmade  ,,,,,,,
11,Steins;Gate,PSP,2011,Visual+Novel,Kadokawa Shoten  ,Nitro+  ,,,,,0.19,,0.19
12,Super Star,PC,N/A,Visual+Novel,Unknown  ,Dream Works  ,,,,,,,
13,Wishmaster,PC,N/A,Visual+Novel,Unknown  ,Unknown  ,,,,,,,
14,Steins;Gate,PC,2016,Visual+Novel,Nitro+  ,Nitro+  ,,,,,,,
15,Tears to Tiara II: Heir of the Overlord,PS3,2014,Visual+Novel,NIS America  ,Sting  ,,,0.07,0.01,0.06,0.02,0.15
16,Psycho-Pass: Mandatory Happiness,PS4,2016,Visual+Novel,NIS America  ,5pb. Inc.  ,,,0.1,0.02,,0.03,0.15
17,Winter Novel,PC,2016,Visual+Novel,DeXP  ,DeXP  ,,,,,,,
18,Go! Go! Nippon! ~My First Trip to Japan~,PC,2014,Visual+Novel,MangaGamer  ,OVERDRIVE  ,,,,,,,
19,Utawarerumono: Mask of Truth,PS4,2017,Visual+Novel,Atlus  ,Aqua Plus  ,,,0.05,,0.07,0.01,0.13
20,If My Heart Had Wings,PC,2013,Visual+Novel,MoeNovel  ,MoeNovel  ,,,,,,,
21,Fate/hollow ataraxia,PSV,2014,Visual+Novel,Type-Moon  ,Type-Moon  ,,,,,0.12,,0.12
22,Analogue: A Hate Story,PC,2012,Visual+Novel,Love Conquers All Games  ,Love Conquers All Games  ,,,,,,,
23,Replica,PC,2016,Visual+Novel,Somi  ,Somi  ,,,,,,,
24,fault - milestone one,PC,2013,Visual+Novel,Sekai Project  ,ALICE IN DISSONANCE  ,,,,,,,
25,Robotics;Notes,PS3,2012,Visual+Novel,5pb  ,5pb. Games  ,,,,,0.11,,0.11
